Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Matt Mooney,SG,22,CLE,2,0,2.5,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,1.0
E'Twaun Moore,SG,30,NOP,44,5,19.6,3.7,8.6,.426,1.3,3.4,.373,2.4,5.2,.461,.500,0.6,0.9,.659,0.6,1.9,2.5,1.5,0.5,0.2,0.7,1.5,9.3
Ja Morant,PG,20,MEM,50,50,29.9,6.7,13.5,.492,0.8,2.1,.355,5.9,11.4,.518,.520,3.6,4.6,.777,0.6,2.8,3.4,6.9,1.0,0.3,3.3,1.6,17.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juwan Morgan,PF,22,UTA,15,0,4.5,0.6,1.1,.563,0.1,0.3,.250,0.5,0.8,.667,.594,0.0,0.0,,0.3,0.9,1.3,0.1,0.0,0.1,0.2,0.5,1.3
Marcus Morris,SF-PF,30,TOT,47,47,32.3,6.3,14.4,.440,2.6,6.0,.429,3.8,8.4,.448,.530,3.5,4.2,.823,1.1,4.3,5.4,1.4,0.8,0.4,1.7,3.0,18.7
Marcus Morris,SF,30,NYK,43,43,32.3,6.5,14.8,.442,2.7,6.1,.439,3.8,8.7,.444,.533,3.8,4.6,.823,1.1,4.3,5.4,1.4,0.8,0.4,1.7,3.0,19.6
Marcus Morris,PF,30,LAC,4,4,32.8,4.3,10.3,.415,1.3,4.5,.278,3.0,5.8,.522,.476,0.0,0.0,,0.5,4.3,4.8,1.5,0.8,1.0,2.3,3.0,9.8
Markieff Morris,PF,30,DET,44,16,22.5,4.0,8.8,.450,1.7,4.3,.397,2.3,4.5,.500,.546,1.4,1.8,.772,0.5,3.4,3.9,1.6,0.6,0.3,1.6,2.4,11.0
Monte Morris,PG,24,DEN,57,8,21.3,3.5,7.5,.461,0.8,2.2,.387,2.6,5.3,.492,.518,0.8,1.0,.800,0.4,1.5,1.8,3.6,0.8,0.2,0.7,1.0,8.5
